base_seg_id	corpus	lpair	prob_target	mean_diff	corr_weighted_diff	pca_diff
_DE_EN_004623-17	uds2	deen	0.4539476488350576	0.5374801387083841	0.4781372154531014	0.15305355507621543
_DE_EN_004623-18	uds2	deen	0.6126797404330825	0.5251624847808841	0.737668814166971	1.2560727582863747
_DE_EN_004623-19	uds2	deen	0.2520250716141223	0.12169704880332254	0.1592937289730046	-0.89685756521337
_DE_EN_004623-20	uds2	deen	0.5644558894378656	-0.21541623979289998	-0.6309896496027081	-2.234941087927961
_DE_EN_004623-21	uds2	deen	0.5563693762743027	0.42772437397383484	0.26188678588019015	-0.40624953915572665
_DE_EN_004623-22	uds2	deen	0.4675721384342111	0.0751149034233208	-0.12240811171166688	-0.8750851253573385
_DE_EN_004623-23	uds2	deen	0.5982040737582909	0.6055637772782791	0.7494572732473478	1.508326526712107
_DE_EN_004623-24	uds2	deen	0.4028646891497858	0.8750548123573599	1.1723532180005896	0.5651997937634806
_DE_EN_004623-25	uds2	deen	0.6305027771502226	0.4687440303621752	0.6614320217765715	1.4454027541316532
_DE_EN_004623-26	uds2	deen	0.3135175271157236	-0.019467055174818584	-0.3697134089423742	-1.9682313761436578
_DE_EN_004623-27	uds2	deen	0.5849574431882844	0.368216756594485	0.4902368411951401	0.901468941307222
_DE_EN_004623-28	uds2	deen	0.526401407095224	0.04893752021564963	0.24304837922468397	-0.3658789137696745
_DE_EN_004623-29	uds2	deen	0.5600536875336506	1.1362857928905548	1.2491234112664424	3.019185536151127
_DE_EN_004623-30	uds2	deen	0.5495624091945842	0.10774559269099472	0.41937865803416935	-1.963759913850616
_DE_EN_004623-31	uds2	deen	0.4863467468122696	0.8185744290512893	0.5813335769227719	-0.19258887147561565
_DE_EN_004623-32	uds2	deen	0.4693977298220018	0.5400152406659569	0.5516157180109573	1.2422015485835174
_DE_EN_004623-33	uds2	deen	0.5472491241741654	0.27912685856274105	0.5950684382858699	-2.39165856315755
_DE_EN_004623-34	uds2	deen	0.4601425142153101	-0.2296170890297218	-0.5948232294919916	-3.011151227507822
_DE_EN_004623-35	uds2	deen	0.5458919061864568	0.47464032020251457	0.3606008001918972	-0.43582935067481066
_DE_EN_004623-37	uds2	deen	0.5	0.8360047110148819	0.9218223725493642	-0.8116879287286055
_DE_EN_004623-38	uds2	deen	0.4762929985023061	0.526731193320453	0.45131120685399007	0.010414347934249335
_DE_EN_004623-39	uds2	deen	0.6680932667989065	0.7029906293843775	1.0203417802053099	2.194630417843402
_DE_EN_004623-40	uds2	deen	0.5526927240124752	0.810797935489753	0.9447014666784201	1.2893541048632504
_DE_EN_004623-41	uds2	deen	0.524079118709248	0.2914806007557268	0.2467493613015547	-1.9938163217041875
_DE_EN_004623-42	uds2	deen	0.591150920682749	0.6823765689522517	0.7945425675331521	1.5998281108884362
_DE_EN_004623-43	uds2	deen	0.5	-0.07374560179446853	-0.011670466103910277	-2.3661500206627233
_DE_EN_004623-44	uds2	deen	0.7177905644133717	0.3192250065108836	0.6670470206886905	-2.663727324474578
_DE_EN_004623-45	uds2	deen	0.5104293214413193	0.10682884730749342	0.10633913009898208	-0.4521695887739361
_DE_EN_004623-46	uds2	deen	0.5778004616327398	0.16527031391359084	0.030038556619481595	-1.4167320889729802
_DE_EN_000998-01	uds2	deen	0.4012523199571838	0.7329452550151968	0.5945023638478677	1.4888951784782107
_DE_EN_000998-02	uds2	deen	0.6271883934718278	-0.13632306181910755	-0.4873667080002364	-3.454710951429202
_DE_EN_000998-03	uds2	deen	0.5	0.44598361460992525	0.53640734638223	-0.6538762439349382
_DE_EN_000998-04	uds2	deen	0.5679998313279684	0.3543244458211539	0.5377278535457135	0.12545695303246118
_DE_EN_000998-05	uds2	deen	0.6939044636083584	0.9232251430284663	0.893763235217456	2.0326401709285986
